Program,HH_Composition,HH_Income,Housing_Cost,Education_Track,Gentrification,Graduated,Education_TrackY
REG,3,33149,12048,,4,0,0
REG,1,9216,11304,,4,0,0
REG,8,20124,24732,,4,0,0
REG,8,20124,24732,,4,0,0
REG,2,8580,13332,,4,0,0
REG,5,13585,25848,,2,0,0
REG,3,14976,17436,,4,0,0
REG,1,13617,12900,,4,0,0
REG,4,12870,16836,,4,0,0
REG,4,14913,20040,,3,0,0
FUPF,3,25082,14520,,4,0,0
FUPF,3,25082,14520,,4,0,0
REG,4,12054,19344,,3,0,0
REG,2,36192,17148,,3,0,0
REG,2,36192,17148,,3,0,0
REG,2,9396,14208,Expungement and Job Placement Assistance; Job Placement for Long Term Unemployed; Job Skills Training,4,0,1
REG,4,7748,21564,,3,0,0
HOPE6,3,3936,20472,,4,0,0
PHRR,4,18480,23472,,3,0,0
PHRR,4,18480,23472,,3,0,0
REG,3,17836,24312,,3,0,0
REG,5,18081,21144,,4,0,0
REG,5,18081,21144,,4,0,0
REG,3,0,11712,,4,0,0
FLOW,3,0,15432,,4,0,0
REG,1,16640,20364,,3,0,0
REG,1,15883,11544,,4,0,0
REG,2,10428,17436,,4,0,0
REG,3,35770,16728,,2,0,0
PHRR,2,45750,22608,,3,0,0
PHRR,2,45750,22608,,3,0,0
REG,3,29514,14760,,3,0,0
PHRR,4,0,20016,,4,0,0
REG,1,40523,14760,,4,0,0
PHRR,6,15446,23352,Job Placement for Long Term Unemployed,4,0,1
PHRR,6,15446,23352,,4,0,0
PHRR,6,15446,23352,,4,0,0
REG,2,14820,20268,,4,0,0
REG,5,11700,25032,Employment Prep Placement and Retention Services,4,0,1
REG,2,38000,18408,,3,0,0
REG,2,15912,22680,,3,0,0
REG,10,54074,31392,,3,0,0
REG,10,54074,31392,,3,0,0
REG,10,54074,31392,,3,0,0
REG,10,54074,31392,,3,0,0
REG,10,54074,31392,,3,0,0
FLOW,4,46495,19200,,3,0,0
FLOW,4,46495,19200,,3,0,0
REG,2,15209,14976,Job Placement for Long Term Unemployed,3,0,1
REG,2,15209,14976,Job Placement for Long Term Unemployed,3,0,1
REG,2,15209,14976,,3,0,0
FUPF,4,28595,24312,,3,0,0
FUPF,4,28595,24312,,3,0,0
REG,4,17340,15072,,4,0,0
HOPE6,3,29356,21084,,4,0,0
REG,4,27913,23976,,4,0,0
REG,4,27913,23976,,4,0,0
REG,1,17028,10224,,4,0,0
REG,2,14040,14472,,3,0,0
REG,1,33624,10200,,4,0,0
REG,5,25658,19632,,3,0,0
REG,3,12444,16836,,4,0,0
REG,1,14144,11640,,4,0,0
NED,3,11388,21564,,2,0,0
FUPF,5,29959,22008,,4,0,0
FUPF,5,29959,22008,,4,0,0
REG,2,0,13728,,4,0,0
REG,5,19003,15936,,3,0,0
REG,2,36013,15228,,2,0,0
REG,3,12090,16464,,4,0,0
REG,3,12090,16464,,4,0,0
REG,4,27485,19512,,4,0,0
REG,4,27485,19512,,4,0,0
REG,1,45379,14856,,3,0,0
REG,3,34445,26076,,4,0,0
REG,2,16359,13272,,4,0,0
REG,2,16359,13272,,4,0,0
PHRR,5,40577,19932,,3,0,0
REG,2,9204,18852,,4,0,0
REG,1,35081,17208,,4,0,0
REG,4,18792,20532,,4,0,0
REG,4,16900,21036,,4,0,0
REG,4,16900,21036,,4,0,0
REG,2,10640,18132,Employment Prep Placement and Retention Services; Expungement and Job Placement Assistance,1,0,1
REG,2,10640,18132,Behavioral Health Counseling and Services,1,0,1
REG,2,10640,18132,,1,0,0
REG,1,26754,11616,,3,0,0
HOPE6,3,35359,17940,,3,0,0
HOPE6,3,35359,17940,,3,0,0
REG,8,3000,33492,Job Placement for Long Term Unemployed,4,0,1
REG,8,3000,33492,Workforce Development Training,4,0,1
REG,8,3000,33492,,4,0,0
REG,8,3000,33492,,4,0,0
REG,2,27530,16968,,0,0,0
REG,2,27530,16968,,0,0,0
REG,1,29763,15588,,4,0,0
REG,1,20591,13524,,3,0,0
HOPE6,3,21437,16848,Vocational Counseling,3,0,1
REG,3,8820,13272,,3,0,0
REG,3,0,19872,,4,0,0
REG,5,26540,18480,,4,0,0
REG,3,11928,20436,,4,0,0
PHRR,1,21879,14400,,4,0,0
REG,2,8820,13908,,4,0,0
PHRR,2,13200,16332,,3,0,0
REG,2,11208,15276,,4,0,0
VASH,1,5228,11472,,4,0,0
REG,3,54358,10932,,4,0,0
REG,3,54358,10932,,4,0,0
REG,1,26063,15492,,4,0,0
REG,2,20582,12756,,4,0,0
FLOW,2,25237,16260,,3,0,0
REG,3,27125,15672,,4,0,0
REG,3,13621,11640,,4,0,0
REG,5,17623,21108,,4,0,0
REG,2,22944,13884,,4,0,0
REG,4,17844,14832,,4,0,0
REG,4,9396,25152,,4,0,0
REG,4,20668,12972,,4,0,0
REG,6,26950,26328,,4,0,0
REG,5,35888,23100,,3,0,0
REG,5,35888,23100,,3,0,0
REG,4,42294,16068,,4,0,0
REG,3,29458,20124,,4,0,0
PHRR,1,9776,23016,,4,0,0
REG,2,12732,24732,,4,0,0
REG,2,19928,15516,,4,0,0
REG,4,24825,22356,,4,0,0
REG,4,24825,22356,,4,0,0
REG,6,17441,23208,,4,0,0
PHRR,3,21896,23040,,3,0,0
PHRR,3,21896,23040,,3,0,0
REG,2,21507,11712,,4,0,0
PHRR,3,16000,20400,,4,0,0
PHRR,3,16000,20400,,4,0,0
FUPF,4,22418,21924,,2,0,0
REG,2,27309,20616,,4,0,0
REG,3,31641,13608,,3,0,0
REG,3,31641,13608,,3,0,0
REG,2,18980,19224,,3,0,0
REG,2,18980,19224,,3,0,0
REG,4,10824,14736,,3,0,0
REG,2,35065,15168,,3,0,0
HOPE6,2,9396,13452,,4,0,0
PHRR,2,8448,13896,,4,0,0
REG,4,19953,18600,,3,0,0
REG,2,14771,12084,,2,0,0
REG,4,38214,25020,,4,0,0
REG,4,38214,25020,,4,0,0
REG,4,38214,25020,,4,0,0
REG,4,38214,25020,,4,0,0
NED,6,19550,24204,,4,0,0
NED,6,19550,24204,,4,0,0
PHRR,1,8736,13080,Job Placement for Long Term Unemployed,4,0,1
REG,1,21840,13128,,3,0,0
REG,3,0,11784,,4,0,0
REG,2,1200,14472,,0,0,0
REG,3,44889,19680,,3,0,0
REG,7,18980,26544,,3,0,0
REG,7,18980,26544,,3,0,0
REG,2,0,27312,,0,0,0
REG,1,18842,12792,,4,0,0
REG,2,20421,10728,,4,0,0
REG,4,11355,17748,GED Preparation,4,0,1
REG,4,11355,17748,Workforce Development Training,4,0,1
HOPE6,3,19754,18924,,2,0,0
HOPE6,3,19754,18924,,2,0,0
REG,7,37881,29316,,4,0,0
REG,3,24960,16332,,4,0,0
PHRR,2,20779,14328,,3,0,0
REG,1,19654,15276,,4,0,0
REG,2,30806,16524,,4,0,0
REG,2,9000,14772,,4,0,0
REG,2,31946,18108,,3,0,0
REG,1,19316,12648,,4,0,0
REG,1,30511,11232,,4,0,0
REG,3,16432,20232,,4,0,0
REG,2,83,12816,,4,0,0
RISE II,1,0,10020,,4,0,0
REG,2,27376,14928,,3,0,0
NED,2,9396,18612,,3,0,0
PHRR,2,27895,17892,,4,0,0
PHRR,2,9492,19776,,3,0,0
REG,2,10044,19068,,4,0,0
REG,2,19512,19860,,4,0,0
REG,1,26676,14856,,4,0,0
REG,2,18870,12804,,4,0,0
PHRR,2,36007,15672,,3,0,0
REG,2,19528,12192,,4,0,0
REG,1,9094,12708,,4,0,0
PHRR,4,43143,32712,,4,0,0
PHRR,4,43143,32712,,4,0,0
PHRR,4,43143,32712,,4,0,0
HOPE6,2,29174,13560,,4,0,0
REG,2,9768,11784,,4,0,0
PHRR,2,18720,12048,,4,0,0
REG,4,25345,20388,,4,0,0
FLOW,5,21730,24960,,2,0,0
REG,2,19314,16188,,4,0,0
REG,2,19314,16188,,4,0,0
REG,2,25592,13728,,4,0,0
REG,2,21893,14988,Job Skills Training,3,0,1
PHRR,4,30572,21660,GED Preparation,4,0,1
PHRR,4,30572,21660,Workforce Development Training,4,0,1
PHRR,4,30572,21660,Workforce Development Training,4,0,1
PHRR,4,30572,21660,,4,0,0
SPHVS,5,6000,17580,,4,0,0
REG,6,22675,19068,,4,0,0
REG,1,28911,11976,,4,0,0
VASH,1,5228,13884,,4,0,0
REG,2,9528,15312,,4,0,0
VASH,1,9636,11796,,4,0,0
REG,2,25606,29208,,3,0,0
REG,3,5948,13560,,4,0,0
MS5,5,18504,26748,,4,0,0
REG,2,30399,16152,,2,0,0
PHRR,6,19828,25344,,3,0,0
PHRR,6,19828,25344,,3,0,0
REG,3,19308,10392,,4,0,0
REG,1,0,12756,,4,0,0
REG,3,17842,1608,,3,0,0
REG,2,31648,13212,,4,0,0
REG,1,28348,18192,,2,0,0
REG,2,9492,21948,,0,0,0
REG,5,30344,23640,Workforce Development Training,4,0,1
REG,5,30344,23640,Workforce Development Training,4,0,1
REG,5,30344,23640,,4,0,0
REG,5,30344,23640,,4,0,0
REG,2,11218,10968,,4,0,0
PAV,3,9252,12048,,4,0,0
REG,3,55904,20028,,3,0,0
REG,3,55904,20028,,3,0,0
REG,3,55904,20028,,3,0,0
REG,1,14700,13956,,3,0,0
REG,2,16692,12048,,4,0,0
REG,2,12480,18672,,4,0,0
REG,1,32962,16908,,4,0,0
REG,4,20899,19800,,4,0,0
REG,4,20899,19800,,4,0,0
REG,4,14625,19164,,4,0,0
REG,2,18668,27372,,4,0,0
REG,2,33275,20136,,0,0,0
REG,3,34467,29592,Job Placement for Long Term Unemployed,4,0,1
REG,3,34467,29592,,4,0,0
VASH,1,7531,10464,,4,0,0
REG,2,17752,12504,,4,0,0
VASH,2,9768,23364,,4,0,0
REG,3,20892,19656,,4,0,0
PHRR,5,13180,22968,,4,0,0
PHRR,5,13180,22968,,4,0,0
REG,2,12480,11388,,4,0,0
REG,5,31505,21756,,3,0,0
REG,5,31505,21756,,3,0,0
REG,2,9663,21564,,2,0,0
REG,6,26210,17412,,4,0,0
REG,6,26210,17412,,4,0,0
HFV,2,4914,11640,,4,0,0
HFV,2,4914,11640,,4,0,0
REG,3,15990,20976,,2,0,0
REG,3,60456,19272,,3,0,0
REG,3,60456,19272,,3,0,0
REG,3,60456,19272,,3,0,0
REG,2,29764,18972,,4,0,0
FUPF,4,27263,21864,,3,0,0
FUPF,4,27263,21864,,3,0,0
FUPF,3,16598,21804,,4,0,0
FUPF,3,16598,21804,,4,0,0
REG,3,150,32112,,0,0,0
REG,3,150,32112,,0,0,0
REG,2,9240,14604,,4,0,0
REG,3,0,25092,,4,0,0
PAV,3,9000,17412,,4,0,0
PAV,3,9000,17412,,4,0,0
REG,2,26019,14628,,4,0,0
SPHVS,3,8448,18444,,3,0,0
REG,3,19889,10728,Adult Literacy,4,0,1
REG,3,19889,10728,,4,0,0
REG,2,9586,13128,,3,0,0
PHRR,2,18533,15348,,4,0,0
REG,4,17316,10332,,4,0,0
REG,1,32764,18228,,1,0,0
REG,2,43872,19188,,4,0,0
PHRR,6,24460,19692,,2,0,0
REG,2,32325,14532,,3,0,0
REG,2,32325,14532,,3,0,0
REG,1,8634,17016,,2,0,0
REG,4,29999,13812,,4,0,0
REG,4,45639,19764,,4,0,0
REG,4,45639,19764,,4,0,0
REG,4,45639,19764,,4,0,0
PHRR,2,17488,19788,,4,0,0
PHRR,2,17488,19788,,4,0,0
REG,5,15600,18564,,4,0,0
REG,5,30717,22800,,3,0,0
REG,2,46089,19068,,4,0,0
REG,4,24896,13788,Vocational Counseling,3,0,1
REG,4,24896,13788,Job Placement for Long Term Unemployed,3,0,1
REG,5,6056,18132,,3,0,0
REG,2,29120,14244,,4,0,0
REG,3,38556,15312,,4,0,0
PHRR,4,23062,19596,Job Placement for Long Term Unemployed,4,0,1
PHRR,4,23062,19596,,4,0,0
FUPF,6,18120,19608,Behavioral Health Counseling and Services,4,0,1
REG,3,29101,19560,,3,0,0
REG,3,29101,19560,,3,0,0
PHRR,3,44780,22404,,3,0,0
PHRR,3,44780,22404,,3,0,0
PHRR,3,27132,22548,,3,0,0
REG,2,18518,29916,,4,0,0
REG,1,10942,10680,,4,0,0
REG,2,42774,19428,,0,0,0
REG,2,42774,19428,,0,0,0
REG,7,44403,25140,,3,0,0
REG,7,44403,25140,,3,0,0
SPHVS,5,25549,26916,,4,0,0
REG,2,21970,28332,,0,0,0
REG,2,21970,28332,,0,0,0
REG,2,27826,13332,,4,0,0
REG,1,2722,17604,,4,0,0
REG,2,13941,16332,,3,0,0
REG,2,24471,12228,,4,0,0
PHRR,4,22226,26508,,3,0,0
PHRR,4,22226,26508,,3,0,0
PHRR,4,22226,26508,,3,0,0
REG,2,23478,14208,,2,0,0
REG,3,25027,20652,,4,0,0
REG,2,4862,17004,,4,0,0
REG,5,14144,22776,,4,0,0
REG,3,22591,18108,,4,0,0
REG,3,22591,18108,,4,0,0
REG,3,22591,18108,,4,0,0
REG,3,21190,13668,,4,0,0
PHRR,3,16968,14328,Job Placement for Long Term Unemployed; Job Skills Training,4,0,1
REG,1,19112,11940,,4,0,0
REG,1,22109,11124,,4,0,0
REG,3,22753,21540,,4,0,0
REG,5,23542,30240,,2,0,0
REG,5,23542,30240,,2,0,0
PHRR,3,17490,28128,Job Placement for Long Term Unemployed; Job Skills Training,4,0,1
PHRR,3,17490,28128,,4,0,0
REG,5,50224,23472,,4,0,0
REG,5,50224,23472,,4,0,0
REG,5,50224,23472,,4,0,0
REG,2,16120,16476,,3,0,0
PHRR,3,37574,17964,,3,0,0
PHRR,3,37574,17964,,3,0,0
REG,1,17538,19740,,3,0,0
REG,2,22693,11784,,4,0,0
REG,1,8337,11640,,4,0,0
HFV,9,9528,19128,,4,0,0
FLOW,3,7722,13668,,4,0,0
REG,4,35014,20400,,4,0,0
REG,3,33264,20400,,4,0,0
FLOW,3,19608,12612,,4,0,0
FLOW,3,19608,12612,,4,0,0
REG,3,35849,18000,,4,0,0
REG,1,23709,13800,,4,0,0
PHRR,2,12098,20520,,4,0,0
