Program,HH_Composition,HH_Income,Housing_Cost,Education_Track,Gentrification,Graduated,Education_TrackY
REG,3,30832,13188,,4,0,0
REG,4,13650,21540,,4,0,0
REG,3,46844,20688,,3,0,0
REG,3,18808,17508,,4,0,0
FUPF,2,20467,10308,Job Placement for Long Term Unemployed,4,0,1
FUPF,2,20467,10308,Youth Development Ed and After School Programs,4,0,1
PHRR,2,14666,15264,,4,0,0
REG,3,25369,13812,,4,0,0
REG,3,25369,13812,,4,0,0
REG,3,21370,30048,,2,0,0
REG,2,24984,15612,,4,0,0
REG,3,22835,11976,,4,0,0
PHRR,4,27474,18024,Job Placement for Long Term Unemployed,4,0,1
PHRR,4,27474,18024,Job Placement for Long Term Unemployed,4,0,1
PHRR,4,27474,18024,Employment Prep Placement and Retention Services,4,0,1
PHRR,4,27474,18024,Workforce Development Training,4,0,1
REG,4,0,15840,,2,0,0
REG,4,0,15840,,2,0,0
REG,4,0,21876,,4,0,0
REG,4,18980,13452,,4,0,0
REG,2,21890,16188,,3,0,0
REG,2,21890,16188,,3,0,0
REG,3,18553,15840,,1,0,0
REG,5,13920,23880,,3,0,0
REG,2,10500,17268,GED Preparation; Job Placement for Long Term Unemployed; Youth Development Ed and After School Programs,4,0,1
REG,2,10500,17268,GED Preparation; Job Placement for Long Term Unemployed; Youth Development Ed and After School Programs,4,0,1
REG,2,10500,17268,GED Preparation,4,0,1
REG,2,10500,17268,,4,0,0
REG,2,18497,12096,,4,0,0
REG,2,18497,12096,,4,0,0
REG,5,33894,12720,,3,0,0
REG,6,47363,28548,,4,0,0
REG,4,13657,23400,,4,0,0
REG,5,36375,18984,,4,0,0
REG,5,36375,18984,,4,0,0
REG,5,36375,18984,,4,0,0
REG,5,36375,18984,,4,0,0
REG,3,23436,22632,,4,0,0
REG,2,12480,13236,,4,0,0
PHRR,5,24960,24108,,3,0,0
PHRR,5,24960,24108,,3,0,0
HOPE6,2,36636,11784,,4,0,0
REG,2,15600,14208,,4,0,0
REG,5,30520,25056,,3,0,0
REG,4,17841,10728,,4,0,0
REG,5,30520,25056,,3,0,0
REG,8,15523,27180,,2,0,0
REG,2,27925,18408,,3,0,0
REG,4,37610,23208,,4,0,0
REG,2,12948,13188,,4,0,0
REG,5,24437,18912,,4,0,0
REG,3,14251,18792,,4,0,0
REG,3,14251,18792,,4,0,0
REG,2,14040,10788,,3,0,0
REG,1,18476,16176,,4,0,0
REG,4,30430,14208,,4,0,0
REG,4,30430,14208,,4,0,0
REG,2,14625,14868,,4,0,0
REG,3,20473,16608,,4,0,0
HOPE6,3,0,28344,,4,0,0
REG,2,10385,16752,,3,0,0
REG,1,16484,13896,Job Placement for Long Term Unemployed,2,0,1
FUPF,4,26248,22836,,4,0,0
FUPF,4,26248,22836,,4,0,0
REG,6,33696,21108,,2,0,0
REG,1,5988,13176,,2,0,0
REG,3,44777,20316,Job Skills Training,3,0,1
REG,3,44777,20316,,3,0,0
REG,3,44777,20316,,3,0,0
REG,2,9000,20136,,0,0,0
REG,3,8106,15864,,4,0,0
PHRR,1,16224,12456,,4,0,0
REG,3,3268,18804,,4,0,0
REG,3,22044,19596,,3,0,0
REG,2,20845,18012,,3,0,0
REG,4,19621,23028,Job Placement for Long Term Unemployed,4,0,1
REG,4,19621,23028,Job Placement for Long Term Unemployed,4,0,1
REG,4,19621,23028,,4,0,0
FLOW,3,7656,13560,,4,0,0
REG,2,24427,21816,,3,0,0
REG,2,13260,12480,,4,0,0
FLOW,5,8448,22260,,4,0,0
REG,3,28771,18576,,4,0,0
FLOW,5,20845,15672,,3,0,0
REG,6,16800,25452,,3,0,0
REG,4,18876,21672,,3,0,0
PHRR,4,19315,21564,,4,0,0
PHRR,4,19315,21564,,4,0,0
REG,3,20800,16788,,4,0,0
REG,4,37054,20388,,4,0,0
REG,4,37054,20388,,4,0,0
REG,4,37054,20388,,4,0,0
REG,2,12220,27288,,3,0,0
REG,3,7748,18360,,4,0,0
REG,3,7748,18360,,4,0,0
REG,2,18980,20232,,4,0,0
REG,3,34272,20736,,2,0,0
REG,5,31635,24540,,4,0,0
REG,5,31635,24540,,4,0,0
REG,6,31565,23124,,4,0,0
REG,3,24700,18360,,4,0,0
REG,2,11408,19188,,4,0,0
REG,2,9060,14328,,4,0,0
REG,4,4759,21600,,3,0,0
REG,4,4759,21600,,3,0,0
REG,3,6486,16104,Job Placement for Long Term Unemployed,4,0,1
REG,3,6486,16104,GED Preparation,4,0,1
REG,3,6486,16104,Behavioral Health Counseling and Services,4,0,1
REG,3,6486,16104,,4,0,0
REG,4,9880,22584,,4,0,0
REG,1,15535,11076,,4,0,0
REG,2,9216,21240,,4,0,0
REG,5,17856,19920,,3,0,0
HOPE6,2,11969,16236,,4,0,0
SPHVS,6,16640,23544,,4,0,0
SPHVS,6,16640,23544,,4,0,0
REG,3,23278,20256,,4,0,0
REG,2,12721,12132,,4,0,0
REG,3,12179,18780,,3,0,0
REG,4,25327,24228,,4,0,0
REG,6,7748,26676,,4,0,0
REG,3,18084,13308,,4,0,0
PHRR,2,0,16608,,3,0,0
REG,4,0,19776,,4,0,0
REG,4,20497,13452,,3,0,0
REG,3,0,11784,Workforce Development Training,4,0,1
REG,3,0,11784,Workforce Development Training,4,0,1
PHRR,5,17106,19692,,2,0,0
REG,2,12971,16932,,4,0,0
REG,4,49649,22704,,4,0,0
REG,4,49649,22704,,4,0,0
REG,4,49649,22704,,4,0,0
REG,4,49649,22704,,4,0,0
REG,4,33298,11880,Youth Development Ed and After School Programs,4,0,1
REG,4,33298,11880,Job Placement for Long Term Unemployed,4,0,1
REG,2,8379,17388,,3,0,0
REG,8,45458,30204,,4,0,0
REG,8,45458,30204,,4,0,0
REG,2,50142,16980,,3,0,0
REG,2,50142,16980,,3,0,0
REG,3,17688,19272,,3,0,0
FUPF,2,16374,17532,,2,0,0
PHRR,5,70214,26712,,4,0,0
PHRR,5,70214,26712,,4,0,0
SPHVS,4,11310,16368,,3,0,0
SPHVS,4,11310,16368,,3,0,0
REG,2,0,17208,,2,0,0
REG,1,39340,16404,,3,0,0
REG,2,9000,10248,,0,0,0
REG,1,11467,11496,,4,0,0
REG,3,9000,15912,,4,0,0
REG,4,27063,19692,,4,0,0
REG,6,30071,25500,,4,0,0
REG,5,19032,19764,,4,0,0
REG,3,14872,12720,,3,0,0
REG,3,38382,21804,Job Placement for Long Term Unemployed,3,0,1
REG,3,38382,21804,,3,0,0
REG,3,38382,21804,,3,0,0
HOPE6,2,8944,14028,,4,0,0
PHRR,5,6626,20808,,4,0,0
PHRR,5,6626,20808,,4,0,0
REG,2,17181,14808,,4,0,0
REG,2,10656,16812,,4,0,0
REG,8,9988,18096,,4,0,0
REG,8,9988,18096,,4,0,0
REG,2,16148,14808,,4,0,0
FUPF,6,88760,22176,,2,0,0
FUPF,6,88760,22176,,2,0,0
FUPF,6,88760,22176,,2,0,0
REG,1,26963,13308,,3,0,0
HOPE6,3,44552,25476,,3,0,0
REG,1,16188,11520,,4,0,0
REG,3,33555,23472,,3,0,0
REG,3,33555,23472,,3,0,0
REG,2,15260,9828,,4,0,0
REG,7,31800,42576,Workforce Development Training,4,0,1
REG,7,31800,42576,Workforce Development Training,4,0,1
REG,2,15600,12732,,4,0,0
REG,4,14946,16812,,3,0,0
REG,3,17100,22872,,3,0,0
REG,3,17100,22872,,3,0,0
REG,3,17100,22872,,3,0,0
NED,3,45156,16860,,4,0,0
NED,3,45156,16860,,4,0,0
REG,2,19086,15072,,4,0,0
REG,5,23084,18600,,4,0,0
REG,5,23084,18600,,4,0,0
FUPF,7,4032,25140,,4,0,0
REG,6,14106,27600,,4,0,0
REG,3,30683,16332,,4,0,0
REG,2,42430,16092,,4,0,0
REG,3,16620,19308,,3,0,0
FLOW,4,14757,15744,Workforce Development Training,4,0,1
REG,2,21840,14532,,4,0,0
FLOW,3,11016,16560,,4,0,0
PHRR,4,32891,13008,,4,0,0
REG,3,32408,21564,,3,0,0
FLOW,5,14912,23100,,3,0,0
REG,5,16848,18708,,4,0,0
REG,4,22880,20220,Workforce Development Training,4,0,1
SPHVS,5,9396,21564,,3,0,0
SPHVS,5,9396,21564,,3,0,0
REG,1,14404,14256,,4,0,0
FUPF,3,27065,27132,,0,0,0
REG,3,26296,27828,,3,0,0
HFV,1,0,13296,,4,0,0
REG,1,17992,13800,,4,0,0
PHRR,6,9252,30456,,4,0,0
REG,1,31191,10728,,4,0,0
REG,4,22176,22416,,3,0,0
REG,4,22176,22416,Employment Prep Placement and Retention Services,3,0,1
REG,4,22176,22416,,3,0,0
REG,3,12981,14244,,4,0,0
REG,1,0,19536,Job Placement for Long Term Unemployed,4,0,1
REG,3,11200,16800,Job Placement for Long Term Unemployed; Job Skills Training,3,0,1
REG,5,27734,19848,,4,0,0
SPHVS,4,18200,18360,Workforce Development Training,4,0,1
SPHVS,4,18200,18360,Workforce Development Training,4,0,1
REG,2,20253,23088,,3,0,0
REG,2,20253,23088,,3,0,0
REG,1,0,16500,,1,0,0
REG,3,19810,15072,,3,0,0
PHRR,2,12857,11784,,4,0,0
HOPE6,5,27505,22140,,4,0,0
REG,3,750,19476,,4,0,0
REG,3,750,19476,,4,0,0
REG,3,41846,19044,,2,0,0
REG,3,41846,19044,,2,0,0
REG,2,21609,11784,,4,0,0
REG,1,14976,9684,,3,0,0
PHRR,7,35939,19944,,4,0,0
PHRR,7,35939,19944,,4,0,0
REG,2,15440,16932,,4,0,0
REG,2,22773,16260,,3,0,0
REG,2,22773,16260,,3,0,0
REG,5,20488,18996,,4,0,0
REG,3,24414,18384,,3,0,0
REG,2,22514,15672,,4,0,0
REG,1,6760,11808,,4,0,0
REG,3,16484,17172,,3,0,0
REG,4,20240,21336,Behavioral Health Counseling and Services,3,0,1
REG,4,37513,19164,,4,0,0
REG,2,7852,13872,,4,0,0
REG,3,16072,12528,,4,0,0
REG,2,20200,16332,,3,0,0
REG,3,31512,18252,,2,0,0
REG,5,4083,16836,,4,0,0
REG,3,17200,20892,,3,0,0
REG,5,12948,15372,,4,0,0
REG,2,3380,16308,,3,0,0
REG,3,18980,15900,,4,0,0
REG,5,22961,20664,,2,0,0
FUPF,1,0,17988,,1,0,0
PHRR,2,24330,13404,,3,0,0
PHRR,2,24330,13404,,3,0,0
REG,3,62670,20472,,4,0,0
REG,3,62670,20472,,4,0,0
REG,3,62670,20472,,4,0,0
REG,2,750,19752,Job Placement for Long Term Unemployed,4,0,1
REG,2,750,19752,,4,0,0
REG,2,750,19752,,4,0,0
REG,8,24239,28068,,3,0,0
PHRR,5,41870,16632,,1,0,0
FUPF,5,0,19764,,4,0,0
FUPF,5,0,19764,,4,0,0
REG,6,37960,28176,,4,0,0
REG,6,37960,28176,,4,0,0
SPHVS,4,22403,21552,,3,0,0
SPHVS,4,22403,21552,,3,0,0
REG,4,34722,19356,,2,0,0
REG,4,34722,19356,,2,0,0
REG,3,26556,18288,,4,0,0
REG,3,26556,18288,,4,0,0
REG,4,26728,23364,,4,0,0
REG,4,26728,23364,,4,0,0
REG,5,24389,26808,,4,0,0
REG,5,24389,26808,,4,0,0
REG,5,24389,26808,,4,0,0
REG,1,23561,13560,,4,0,0
REG,1,16640,17400,,0,0,0
REG,2,9396,15204,,2,0,0
FLOW,2,9761,18588,,4,0,0
REG,3,32576,12276,,4,0,0
REG,2,1680,9336,Behavioral Health Counseling and Services,4,0,1
REG,2,1680,9336,Job Placement for Long Term Unemployed,4,0,1
VASH,1,13845,10296,,4,0,0
REG,1,22993,11772,,4,0,0
REG,2,9000,15900,,4,0,0
REG,3,16075,23076,,4,0,0
FLOW,2,17900,12588,,4,0,0
REG,2,25352,14532,,3,0,0
REG,2,14952,18948,,4,0,0
REG,3,24146,16500,,4,0,0
REG,3,24146,16500,,4,0,0
REG,1,26739,9684,,3,0,0
REG,3,22147,18708,,4,0,0
REG,5,20359,24576,,2,0,0
REG,2,20020,28668,,1,0,0
REG,5,34770,24768,,4,0,0
REG,5,34770,24768,,4,0,0
REG,3,8836,14676,Adult Literacy,4,0,1
REG,3,8836,14676,,4,0,0
REG,2,5954,13728,,4,0,0
REG,1,18401,13800,,4,0,0
REG,1,22129,15036,,4,0,0
PAV,2,8460,13488,,4,0,0
REG,3,9000,20364,,2,0,0
REG,4,31437,20124,,4,0,0
REG,4,31437,20124,,4,0,0
REG,3,19056,13128,,3,0,0
REG,3,15872,14772,,4,0,0
REG,4,41522,32172,,0,0,0
REG,3,0,19380,,4,0,0
REG,2,13104,29208,,1,0,0
REG,3,14546,13728,Job Placement for Long Term Unemployed,4,0,1
REG,3,18634,22320,,4,0,0
REG,2,2592,15852,,4,0,0
REG,4,14976,13932,,4,0,0
REG,4,14976,13932,,4,0,0
REG,2,25417,14988,,4,0,0
REG,4,35344,21312,,4,0,0
REG,4,35344,21312,,4,0,0
REG,3,13260,20340,,4,0,0
REG,3,13260,20340,,4,0,0
REG,4,11648,18972,,2,0,0
REG,4,11648,18972,,2,0,0
REG,4,11648,18972,,2,0,0
REG,1,7809,12696,,4,0,0
REG,4,16341,15864,,4,0,0
REG,4,9528,10728,Employment Prep Placement and Retention Services,4,0,1
REG,3,8632,14628,,4,0,0
FLOW,4,30712,19824,,4,0,0
REG,4,11700,21876,,3,0,0
REG,1,0,12708,,4,0,0
REG,6,18504,22512,,4,0,0
REG,4,33869,21564,,3,0,0
REG,4,33869,21564,,3,0,0
REG,4,33869,21564,,3,0,0
REG,4,33869,21564,,3,0,0
REG,3,17282,25200,,1,0,0
FLOW,6,9396,24504,,4,0,0
REG,3,3992,14484,,4,0,0
REG,2,42328,17388,,3,0,0
REG,3,9528,26964,,4,0,0
REG,4,14040,15408,,4,0,0
REG,3,8766,14328,,4,0,0
REG,4,50745,24180,,3,0,0
REG,4,50745,24180,,3,0,0
HOPE6,1,0,18564,,4,0,0
HOPE6,4,42410,22044,,3,0,0
REG,5,9252,32208,,4,0,0
REG,7,44631,24060,,1,0,0
REG,2,11544,14328,,4,0,0
REG,3,48927,20244,,0,0,0
REG,2,12072,17544,,3,0,0
HOPE6,2,17160,23688,Workforce Development Training,3,0,1
HOPE6,2,17160,23688,,3,0,0
PHRR,6,15703,19644,,4,0,0
FUPF,5,28897,16560,,4,0,0
PHRR,2,9771,14532,,4,0,0
PHRR,2,9771,14532,,4,0,0
REG,4,39506,20400,,2,0,0
REG,7,27750,21600,,4,0,0
REG,7,27750,21600,,4,0,0
REG,4,22763,20388,,4,0,0
REG,3,22220,22248,,4,0,0
REG,5,60069,18372,,4,0,0
REG,5,60069,18372,,4,0,0
PHRR,10,28812,34116,,4,0,0
REG,2,41514,19776,,4,0,0
PHRR,10,28812,34116,,4,0,0
PHRR,10,28812,34116,,4,0,0
PHRR,10,28812,34116,,4,0,0
REG,3,20658,16788,,4,0,0
REG,3,14820,16476,,3,0,0
REG,3,14040,15612,,4,0,0
REG,3,39067,16500,,3,0,0
REG,3,39067,16500,,3,0,0
REG,3,33140,21768,,2,0,0
REG,3,33140,21768,,2,0,0
REG,3,14157,19872,,4,0,0
REG,4,38522,22140,,4,0,0
REG,4,38522,22140,,4,0,0
REG,4,38522,22140,,4,0,0
REG,3,45670,19884,,4,0,0
REG,3,45670,19884,,4,0,0
REG,4,16958,25884,,4,0,0
REG,4,17400,18144,,4,0,0
REG,4,17400,18144,,4,0,0
PHRR,3,15410,31308,,0,0,0
PHRR,3,15410,31308,,0,0,0
REG,1,26130,12156,,4,0,0
PHRR,10,32584,32256,Family Support and Counseling Services; Job Placement for Long Term Unemployed,4,0,1
PHRR,10,32584,32256,Family Support and Counseling Services; Job Placement for Long Term Unemployed,4,0,1
PHRR,10,32584,32256,,4,0,0
REG,2,12350,23628,,3,0,0
REG,2,10296,15912,,4,0,0
REG,4,10348,22872,,4,0,0
FLOW,4,21843,23364,,4,0,0
REG,4,24956,24000,,2,0,0
REG,6,25303,30492,,4,0,0
REG,3,26712,25776,,4,0,0
REG,3,0,14628,,4,0,0
REG,2,11037,15960,,4,0,0
REG,2,11037,15960,,4,0,0
REG,4,23915,23808,,4,0,0
REG,2,22474,16728,,2,0,0
REG,3,20918,21648,,4,0,0
PHRR,6,17680,22140,,4,0,0
PHRR,6,17680,22140,,4,0,0
PHRR,6,17680,22140,,4,0,0
REG,3,0,16164,Adult Literacy,4,0,1
REG,3,0,14556,,4,0,0
REG,2,26936,14352,,4,0,0
REG,2,26936,14352,,4,0,0
REG,4,17810,17676,,4,0,0
REG,2,10047,14988,,4,0,0
REG,5,19165,14352,Behavioral Health Counseling and Services,4,0,1
REG,5,19165,14352,Expungement and Job Placement Assistance,4,0,1
REG,5,19165,14352,,4,0,0
REG,4,30919,23868,,3,0,0
REG,4,30919,23868,,3,0,0
REG,6,28113,16752,,3,0,0
REG,6,28113,16752,,3,0,0
REG,6,28113,16752,,3,0,0
REG,4,19200,16752,,4,0,0
REG,2,1860,11076,,4,0,0
REG,2,23347,18948,,4,0,0
REG,4,39619,15588,,2,0,0
REG,3,17586,17676,,4,0,0
REG,3,17586,17676,,4,0,0
REG,5,9820,17940,,3,0,0
REG,5,9820,17940,,3,0,0
REG,5,9820,17940,,3,0,0
REG,2,15420,11004,,4,0,0
REG,3,0,20916,,4,0,0
REG,3,57531,16872,,4,0,0
REG,3,57531,16872,,4,0,0
REG,2,33340,14928,,3,0,0
REG,5,17980,17388,,2,0,0
REG,5,17980,17388,,2,0,0
PAV,4,18152,28908,,4,0,0
REG,7,15334,26976,,4,0,0
REG,7,15334,26976,,4,0,0
REG,5,7964,26376,,3,0,0
REG,5,7964,26376,,3,0,0
REG,5,7964,26376,,3,0,0
REG,2,13572,15612,,4,0,0
REG,5,15473,20004,,4,0,0
REG,5,15473,20004,,4,0,0
REG,2,14156,17280,,4,0,0
REG,8,13376,37620,,2,0,0
REG,3,7384,26964,,4,0,0
HOPE6,2,8808,15672,,4,0,0
REG,3,32061,22860,,4,0,0
REG,5,49391,24336,,3,0,0
REG,5,49391,24336,,3,0,0
REG,2,15730,16260,,1,0,0
REG,2,15730,16260,,1,0,0
REG,2,27654,19116,,2,0,0
REG,2,27654,19116,,2,0,0
REG,2,12521,18876,,4,0,0
REG,6,10800,19656,,4,0,0
REG,1,32231,13392,,3,0,0
REG,2,17836,16968,,1,0,0
REG,3,15500,13572,,4,0,0
REG,2,30564,14448,,3,0,0
HOPE6,2,17053,11784,,4,0,0
HOPE6,2,17053,11784,,4,0,0
REG,2,4261,17268,,4,0,0
REG,3,7748,13488,,4,0,0
REG,7,15168,39720,,4,0,0
REG,4,31205,21732,,4,0,0
REG,3,16065,15888,,4,0,0
REG,9,14560,29496,,4,0,0
REG,5,9000,21600,,3,0,0
PHRR,2,0,14460,Job Placement for Long Term Unemployed,4,0,1
REG,2,15132,19932,,4,0,0
PHRR,3,0,15396,GED Preparation,4,0,1
PHRR,3,0,15396,GED Preparation,4,0,1
REG,2,11544,14676,,4,0,0
REG,5,16786,11664,,4,0,0
SPHVS,3,13602,15720,,4,0,0
REG,3,25744,20508,,4,0,0
ENH,4,14940,14868,,3,0,0
REG,5,35000,32736,,0,0,0
REG,5,35000,32736,,0,0,0
REG,1,35162,21564,,4,0,0
REG,2,24893,17388,,3,0,0
NED,2,1794,13188,Behavioral Health Counseling and Services,4,0,1
NED,2,1794,13188,Behavioral Health & Counseling,4,0,1
NED,2,1794,13188,Workforce Development Training,4,0,1
NED,2,1794,13188,Workforce Development Training,4,0,1
REG,3,12509,13128,,4,0,0
PHRR,3,19728,20364,,4,0,0
PHRR,3,19728,20364,,4,0,0
REG,5,0,21108,Job Skills Training,4,0,1
REG,4,14567,23604,,4,0,0
PHRR,1,18200,11496,Job Placement for Long Term Unemployed,4,0,1
REG,2,9516,26808,,2,0,0
REG,1,16320,11004,,4,0,0
REG,2,25770,15072,,3,0,0
REG,3,8996,14472,,4,0,0
REG,1,5772,12216,Behavioral Health Counseling and Services,4,0,1
REG,1,5772,12216,GED Preparation,4,0,1
REG,4,32794,20364,,4,0,0
REG,3,39608,16848,,3,0,0
REG,3,39608,16848,,3,0,0
REG,2,8699,14748,,4,0,0
REG,1,15030,13308,,3,0,0
REG,3,14924,11712,,4,0,0
REG,2,4189,14208,,4,0,0
REG,3,13140,13728,,4,0,0
REG,3,21927,23628,,4,0,0
REG,3,21927,23628,,4,0,0
REG,2,22709,19752,,2,0,0
REG,3,27019,19332,,4,0,0
REG,1,19356,15756,,4,0,0
REG,1,14560,14496,,3,0,0
REG,2,7124,12996,Employment Prep Placement and Retention Services,4,0,1
REG,4,25798,15708,,4,0,0
REG,4,25798,15708,,4,0,0
REG,4,25798,15708,,4,0,0
REG,6,24356,29880,,0,0,0
REG,6,24356,29880,,0,0,0
REG,6,24356,29880,,0,0,0
REG,7,24900,23592,,3,0,0
REG,3,18980,15192,,4,0,0
REG,5,17924,24084,,3,0,0
FLOW,3,49473,28932,,1,0,0
REG,3,19699,13188,,4,0,0
REG,5,0,22416,,4,0,0
REG,5,0,22416,,4,0,0
NED,2,8696,15828,,4,0,0
REG,3,14000,13404,,3,0,0
REG,3,14144,14208,Job Placement for Long Term Unemployed,4,0,1
REG,1,13052,14064,Employment Prep Placement and Retention Services,3,0,1
REG,1,13052,14064,Behavioral Health Counseling and Services,3,0,1
PHRR,3,9000,16320,,4,0,0
PHRR,3,9000,16320,,4,0,0
REG,3,33173,22536,,4,0,0
PHRR,2,24288,16884,,4,0,0
REG,1,25071,14988,,4,0,0
REG,2,12681,14916,,4,0,0
SPHVS,4,16720,14112,,4,0,0
SPHVS,3,16448,26628,,4,0,0
REG,3,36665,26112,,4,0,0
REG,1,44042,13008,,4,0,0
REG,3,27892,23376,,4,0,0
REG,3,27892,23376,,4,0,0
REG,2,16000,19044,,4,0,0
REG,7,33157,24036,,4,0,0
REG,7,33157,24036,,4,0,0
HOPE6,4,32077,16056,,4,0,0
REG,2,15550,16968,,4,0,0
REG,3,21972,19224,,3,0,0
HOPE6,3,31228,19908,,4,0,0
HOPE6,3,31228,19908,,4,0,0
REG,2,26454,20400,,4,0,0
REG,1,13658,11376,,4,0,0
HOPE6,2,13832,19092,,3,0,0
HOPE6,2,13832,19092,,3,0,0
REG,3,17270,17580,,4,0,0
REG,3,17270,17580,,4,0,0
REG,2,15584,15852,,4,0,0
REG,1,19019,13332,,4,0,0
PHRR,2,19131,13992,,4,0,0
PHRR,2,19131,13992,,4,0,0
REG,2,30351,19692,,4,0,0
PHRR,5,8670,27792,,4,0,0
PHRR,5,8670,27792,,4,0,0
REG,1,0,13752,,4,0,0
REG,6,20079,24300,,4,0,0
REG,6,20079,24300,,4,0,0
REG,2,19456,16932,,4,0,0
REG,3,18980,16188,,4,0,0
REG,1,13689,13560,,4,0,0
PAV,2,24613,14916,,4,0,0
PAV,2,24613,14916,,4,0,0
PHRR,3,27169,19200,,4,0,0
PHRR,3,27169,19200,,4,0,0
REG,2,22535,13560,,4,0,0
REG,2,22535,13560,,4,0,0
REG,5,0,30576,,0,0,0
REG,4,9396,18036,Employment Prep Placement and Retention Services,4,0,1
REG,3,20800,14208,,4,0,0
REG,2,0,17268,,4,0,0
REG,7,37211,27216,,4,0,0
REG,7,37211,27216,,4,0,0
REG,7,37211,27216,,4,0,0
REG,1,25758,11736,,2,0,0
REG,3,8580,14724,,4,0,0
REG,1,18924,19956,,3,0,0
REG,3,26000,24144,Job Placement for Long Term Unemployed,2,0,1
PHRR,2,51168,27240,,0,0,0
PHRR,2,51168,27240,,0,0,0
REG,2,2820,14040,,4,0,0
REG,3,4881,22416,,3,0,0
REG,2,19361,16776,,3,0,0
REG,3,47697,16200,,4,0,0
REG,3,47697,16200,,4,0,0
REG,3,47697,16200,,4,0,0
REG,5,18980,26808,,4,0,0
REG,5,18980,26808,,4,0,0
FUPF,4,33481,19044,,3,0,0
PHRR,3,0,19308,,3,0,0
REG,3,11900,17280,,4,0,0
REG,3,11900,17280,,4,0,0
REG,2,14064,20136,,0,0,0
REG,1,15003,12396,,4,0,0
REG,2,11302,18864,,4,0,0
REG,5,13300,23352,,1,0,0
REG,5,13300,23352,,1,0,0
REG,2,12480,17268,,4,0,0
REG,4,23779,18000,,4,0,0
REG,2,12318,13896,,2,0,0
REG,5,23154,18876,,4,0,0
REG,3,23732,18000,,4,0,0
REG,3,3698,14688,Behavioral Health Counseling and Services,3,0,1
REG,3,3698,14688,Behavioral Health & Counseling,3,0,1
REG,2,15704,14532,,4,0,0
REG,2,21804,14112,,4,0,0
REG,1,13870,15168,Job Placement for Long Term Unemployed,3,0,1
REG,3,30169,21564,,4,0,0
REG,3,30169,21564,,4,0,0
REG,2,17578,16932,,3,0,0
REG,2,17578,16932,,3,0,0
REG,2,47950,26460,,3,0,0
REG,2,47950,26460,,3,0,0
REG,3,19478,20376,,4,0,0
REG,4,37718,21276,,4,0,0
REG,4,37718,21276,,4,0,0
PHRR,3,44363,20400,,2,0,0
REG,5,26388,26100,,4,0,0
REG,4,16569,26940,,4,0,0
REG,3,26170,14388,,4,0,0
REG,3,26170,14388,,4,0,0
REG,3,52522,23076,,3,0,0
REG,4,9620,18432,,4,0,0
REG,4,16549,16788,,4,0,0
REG,3,24623,18492,Adult Literacy,3,0,1
REG,3,24623,18492,GED Preparation,3,0,1
REG,1,21379,18276,,0,0,0
REG,2,21714,13188,Employment Prep Placement and Retention Services; Vocational Counseling,4,0,1
REG,2,21714,13188,,4,0,0
FUPF,2,6126,29616,,0,0,0
REG,1,0,11568,,4,0,0
HOPE6,2,22500,19200,Job Placement for Long Term Unemployed,2,0,1
REG,2,26000,14748,,4,0,0
REG,2,26000,14748,,4,0,0
REG,4,27542,17964,,3,0,0
REG,4,27542,17964,,3,0,0
REG,2,10536,19272,,4,0,0
PHRR,1,17160,12096,,4,0,0
REG,2,3011,19632,,4,0,0
REG,3,19968,17952,,4,0,0
REG,3,19968,17952,,4,0,0
REG,1,18054,15840,,4,0,0
REG,1,15600,13872,,4,0,0
FLOW,1,13676,13056,,2,0,0
REG,4,23427,21300,,3,0,0
CRSHP,1,0,18852,,0,0,0
REG,1,17576,13116,,4,0,0
PHRR,3,13743,29184,Adult Literacy,4,0,1
PHRR,3,13743,29184,GED Preparation,4,0,1
PHRR,1,14144,9696,Expungement and Job Placement Assistance,4,0,1
FLOW,1,13161,11640,,4,0,0
VASH,2,1707,26556,,4,0,0
CRSHP,2,0,12096,,3,0,0
CRSHP,2,0,12096,,3,0,0
REG,5,15623,20352,,4,0,0
REG,2,0,13728,,4,0,0
REG,2,0,13728,,4,0,0
REG,7,10400,23808,,4,0,0
REG,7,10400,23808,,4,0,0
REG,3,29453,13620,,4,0,0
REG,3,29453,13620,,4,0,0
REG,3,9396,16512,,2,0,0
REG,4,31606,20040,,1,0,0
REG,4,31606,20040,,1,0,0
REG,4,31606,20040,,1,0,0
REG,3,25334,14208,,3,0,0
REG,3,20214,15600,,3,0,0
REG,2,9492,14640,,4,0,0
REG,2,9396,14460,,4,0,0
FLOW,3,23091,12696,,3,0,0
FLOW,3,23091,12696,,3,0,0
REG,3,19104,19764,,3,0,0
PHRR,6,34392,20496,,3,0,0
PHRR,6,34392,20496,,3,0,0
FUPF,4,9528,23640,,2,0,0
REG,2,14216,18384,,4,0,0
REG,3,39752,21108,Employment Prep Placement and Retention Services,4,0,1
REG,3,39752,21108,,4,0,0
FUPF,4,24030,20232,Job Placement for Long Term Unemployed,4,0,1
FUPF,4,24030,20232,,4,0,0
FUPF,4,24030,20232,,4,0,0
PHRR,2,14479,12048,,4,0,0
REG,4,21678,14772,,4,0,0
REG,2,10090,30048,,2,0,0
PHRR,2,24588,13632,,4,0,0
REG,2,19790,17904,,4,0,0
REG,2,19790,17904,,4,0,0
REG,5,30806,18420,,1,0,0
REG,3,13230,18300,,3,0,0
REG,3,13230,18300,,3,0,0
